model,task_id,family,target_tokens,actual_document_tokens,fact_count,replicate,parse_failure,parse_error,target_records,predicted_records,matched_records,missing_records,hallucinated_records,duplicate_records,matched_with_any_field_error,omission_rate,hallucination_rate,duplicate_rate,any_field_error_rate_matched,exact_record_rate_target,elapsed_seconds,api_prompt_tokens,api_completion_tokens,exact_record_error_rate,log2_tokens
gpt-4.1-mini,fixed_load-2000-0,fixed_load,2000,1928,10,0,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,8.240569353103638,2142,687,0.0,10.912889336229961
gpt-4.1-mini,fixed_load-2000-1,fixed_load,2000,1932,10,1,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,8.518276453018188,2146,670,0.0,10.915879378835774
gpt-4.1-mini,fixed_load-2000-2,fixed_load,2000,1929,10,2,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,7.9178454875946045,2143,682,0.0,10.913637428049103
gpt-4.1-mini,fixed_load-6000-0,fixed_load,6000,5928,10,0,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,7.815917015075684,6142,682,0.0,12.533329732305834
gpt-4.1-mini,fixed_load-6000-1,fixed_load,6000,5928,10,1,0,,10,10,10,0,0,0,1,0.0,0.0,0.0,0.1,0.9,9.390771389007568,6142,676,0.09999999999999998,12.533329732305834
gpt-4.1-mini,fixed_load-6000-2,fixed_load,6000,5924,10,2,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,9.57811450958252,6138,679,0.0,12.532355925288847
gpt-4.1-mini,fixed_load-12000-0,fixed_load,12000,11925,10,0,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,9.309260368347168,12139,683,0.0,13.541701645780236
gpt-4.1-mini,fixed_load-12000-1,fixed_load,12000,11925,10,1,0,,10,10,10,0,0,0,1,0.0,0.0,0.0,0.1,0.9,8.786908149719238,12139,683,0.09999999999999998,13.541701645780236
gpt-4.1-mini,fixed_load-12000-2,fixed_load,12000,11924,10,2,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,8.36931037902832,12138,667,0.0,13.541580659991169
gpt-4.1-mini,fixed_load-24000-0,fixed_load,24000,23917,10,0,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,8.317767143249512,24131,680,0.0,14.545748817724457
gpt-4.1-mini,fixed_load-24000-1,fixed_load,24000,23921,10,1,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,10.5142183303833,24135,684,0.0,14.545990081162602
gpt-4.1-mini,fixed_load-24000-2,fixed_load,24000,23921,10,2,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,31.57733726501465,24134,680,0.0,14.545990081162602
gpt-4.1-mini,scaled_load-2000-0,scaled_load,2000,1924,4,0,0,,4,4,4,0,0,0,0,0.0,0.0,0.0,0.0,1.0,12.089066982269287,2138,277,0.0,10.909893083770042
gpt-4.1-mini,scaled_load-2000-1,scaled_load,2000,1924,4,1,0,,4,4,4,0,0,0,0,0.0,0.0,0.0,0.0,1.0,12.664886474609375,2138,283,0.0,10.909893083770042
gpt-4.1-mini,scaled_load-2000-2,scaled_load,2000,1925,4,2,0,,4,4,4,0,0,0,0,0.0,0.0,0.0,0.0,1.0,6.318044900894165,2139,279,0.0,10.910642730469625
gpt-4.1-mini,scaled_load-6000-0,scaled_load,6000,5923,8,0,0,,8,8,8,0,0,0,0,0.0,0.0,0.0,0.0,1.0,8.109931707382202,6137,547,0.0,12.532112370794998
gpt-4.1-mini,scaled_load-6000-1,scaled_load,6000,5932,8,1,0,,8,8,8,0,0,0,0,0.0,0.0,0.0,0.0,1.0,10.450036764144897,6146,546,0.0,12.53430288245463
gpt-4.1-mini,scaled_load-6000-2,scaled_load,6000,5926,8,2,0,,8,8,8,0,0,0,0,0.0,0.0,0.0,0.0,1.0,11.936146020889282,6140,549,0.0,12.532842910961282
gpt-4.1-mini,scaled_load-12000-0,scaled_load,12000,11931,16,0,0,,16,16,16,0,0,0,0,0.0,0.0,0.0,0.0,1.0,15.376956939697266,12145,1070,0.0,13.542427347526367
gpt-4.1-mini,scaled_load-12000-1,scaled_load,12000,11933,16,1,0,,16,16,16,0,0,0,0,0.0,0.0,0.0,0.0,1.0,17.105353832244873,12147,1077,0.0,13.542669167010825
gpt-4.1-mini,scaled_load-12000-2,scaled_load,12000,11931,16,2,0,,16,16,16,0,0,0,0,0.0,0.0,0.0,0.0,1.0,29.905023336410522,12145,1070,0.0,13.542427347526367
gpt-4.1-mini,scaled_load-24000-0,scaled_load,24000,23931,32,0,0,,32,32,32,0,0,0,0,0.0,0.0,0.0,0.0,1.0,146.32092833518982,24145,2165,0.0,14.54659306329998
gpt-4.1-mini,scaled_load-24000-1,scaled_load,24000,23943,32,1,0,,32,32,32,0,0,0,0,0.0,0.0,0.0,0.0,1.0,31.667628526687622,24157,2162,0.0,14.54731630935643
gpt-4.1-mini,scaled_load-24000-2,scaled_load,24000,23933,32,2,0,,32,32,32,0,0,0,0,0.0,0.0,0.0,0.0,1.0,27.08392071723938,24147,2127,0.0,14.546713629490998
gpt-5-mini,fixed_load-2000-0,fixed_load,2000,1928,10,0,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,29.045886039733887,2141,1904,0.0,10.912889336229961
gpt-5-mini,fixed_load-2000-1,fixed_load,2000,1932,10,1,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,33.94217872619629,2145,2471,0.0,10.915879378835774
gpt-5-mini,fixed_load-2000-2,fixed_load,2000,1929,10,2,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,41.952569007873535,2142,2028,0.0,10.913637428049103
gpt-5-mini,fixed_load-6000-0,fixed_load,6000,5928,10,0,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,38.5678973197937,6141,3065,0.0,12.533329732305834
gpt-5-mini,fixed_load-6000-1,fixed_load,6000,5928,10,1,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,31.012168407440186,6141,2278,0.0,12.533329732305834
gpt-5-mini,fixed_load-6000-2,fixed_load,6000,5924,10,2,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,35.781527280807495,6137,2088,0.0,12.532355925288847
gpt-5-mini,fixed_load-12000-0,fixed_load,12000,11925,10,0,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,32.3956241607666,12138,2420,0.0,13.541701645780236
gpt-5-mini,fixed_load-12000-1,fixed_load,12000,11925,10,1,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,36.076913595199585,12138,2475,0.0,13.541701645780236
gpt-5-mini,fixed_load-12000-2,fixed_load,12000,11924,10,2,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,34.192522287368774,12137,2084,0.0,13.541580659991169
gpt-5-mini,fixed_load-24000-0,fixed_load,24000,23917,10,0,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,27.93975019454956,24130,1770,0.0,14.545748817724457
gpt-5-mini,fixed_load-24000-1,fixed_load,24000,23921,10,1,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,39.67293167114258,24134,2668,0.0,14.545990081162602
gpt-5-mini,fixed_load-24000-2,fixed_load,24000,23921,10,2,0,,10,10,10,0,0,0,0,0.0,0.0,0.0,0.0,1.0,53.61596941947937,24133,3048,0.0,14.545990081162602
gpt-5-mini,scaled_load-2000-0,scaled_load,2000,1924,4,0,0,,4,4,4,0,0,0,0,0.0,0.0,0.0,0.0,1.0,16.114583253860474,2137,1178,0.0,10.909893083770042
gpt-5-mini,scaled_load-2000-1,scaled_load,2000,1924,4,1,0,,4,4,4,0,0,0,0,0.0,0.0,0.0,0.0,1.0,14.390639781951904,2137,992,0.0,10.909893083770042
gpt-5-mini,scaled_load-2000-2,scaled_load,2000,1925,4,2,0,,4,4,4,0,0,0,0,0.0,0.0,0.0,0.0,1.0,23.593082189559937,2138,1372,0.0,10.910642730469625
gpt-5-mini,scaled_load-6000-0,scaled_load,6000,5923,8,0,0,,8,8,8,0,0,0,0,0.0,0.0,0.0,0.0,1.0,37.63878297805786,6136,2922,0.0,12.532112370794998
gpt-5-mini,scaled_load-6000-1,scaled_load,6000,5932,8,1,0,,8,8,8,0,0,0,0,0.0,0.0,0.0,0.0,1.0,35.41520690917969,6145,2405,0.0,12.53430288245463
gpt-5-mini,scaled_load-6000-2,scaled_load,6000,5926,8,2,0,,8,8,8,0,0,0,0,0.0,0.0,0.0,0.0,1.0,31.45074987411499,6139,2286,0.0,12.532842910961282
gpt-5-mini,scaled_load-12000-0,scaled_load,12000,11931,16,0,0,,16,16,16,0,0,0,0,0.0,0.0,0.0,0.0,1.0,52.538185358047485,12144,2999,0.0,13.542427347526367
gpt-5-mini,scaled_load-12000-1,scaled_load,12000,11933,16,1,0,,16,16,16,0,0,0,0,0.0,0.0,0.0,0.0,1.0,55.75498843193054,12146,3966,0.0,13.542669167010825
gpt-5-mini,scaled_load-12000-2,scaled_load,12000,11931,16,2,0,,16,16,16,0,0,0,0,0.0,0.0,0.0,0.0,1.0,52.98127627372742,12144,3447,0.0,13.542427347526367
gpt-5-mini,scaled_load-24000-0,scaled_load,24000,23931,32,0,1,empty,32,0,0,32,0,0,0,1.0,0.0,0.0,,0.0,88.49887657165527,24144,5000,1.0,14.54659306329998
gpt-5-mini,scaled_load-24000-1,scaled_load,24000,23943,32,1,1,empty,32,0,0,32,0,0,0,1.0,0.0,0.0,,0.0,74.22785139083862,24156,5000,1.0,14.54731630935643
gpt-5-mini,scaled_load-24000-2,scaled_load,24000,23933,32,2,0,,32,32,32,0,0,0,0,0.0,0.0,0.0,0.0,1.0,91.29518342018127,24146,4888,0.0,14.546713629490998
